Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1		
407	-1.73731	407	-1.89183		
408	-1.39437	408	-2.0633		
409	-2.25172	409	-2.23477		
410	-2.25172	410	-2.0633		
411	-1.39437	411	-1.89183		
412	-1.39437	412	-3.09212		
413	-2.25172	413	-2.92065		
414	-1.39437	414	-2.23477		
415	-1.39437	415	-2.92065		
416	-2.25172	416	-1.89183		
417	-1.39437	417	-3.09212		
418	-2.08025	418	-2.92065		
419	-1.39437	419	-1.89183		
420	-2.25172	420	-2.23477		
421	-1.39437	421	-1.89183		
422	-1.39437	422	-2.0633		
423	-1.39437	423	-3.09212		
424	-2.4232	424	-2.23477		
425	-1.39437	425	-1.89183		
426	-1.2229	426	-2.74918		
427	-2.25172	427	-2.23477		
428	-2.25172	428	-1.72036		
429	-1.39437	429	-2.0633		
430	-1.39437	430	-1.89183		
431	-2.25172	431	-2.92065		
432	-1.39437	432	-2.0633		
433	-2.25172	433	-2.0633		
434	-2.08025	434	-2.92065		
435	-1.39437	435	-1.89183		
436	-2.08025	436	-2.0633		
437	-1.39437	437	-2.92065		
438	-1.39437	438	-2.0633		
439	-2.25172	439	-2.92065		
440	-1.39437	440	-2.0633		
441	-1.56584	441	-2.0633		
442	-2.25172	442	-3.09212		
443	-1.39437	443	-2.0633		
444	-1.39437	444	-2.0633		
445	-1.39437	445	-2.92065		
446	-2.25172	446	-2.92065		
447	-1.39437	447	-1.89183		
448	-1.56584	448	-2.0633		
449	-1.39437	449	-2.0633		
450	-2.25172	450	-2.74918		
451	-1.39437	451	-2.92065		
452	-1.2229	452	-2.92065		
453	-2.25172	453	-1.89183		
454	-1.39437	454	-2.23477		
455	-2.25172	455	-2.0633		
456	-1.39437	456	-2.0633		
457	-1.39437	457	-2.0633		
458	-2.25172	458	-2.23477		
459	-1.56584	459	-1.89183		
460	-1.39437	460	-2.23477		
461	-2.25172	461	-2.92065		
462	-1.39437	462	-2.0633		
463	-1.39437	463	-1.89183		
464	-1.39437	464	-2.0633		
465	-2.4232	465	-2.23477		
466	-1.39437	466	-2.0633		
467	-1.39437	467	-2.92065		
468	-1.39437	468	-2.0633		
469	-2.25172	469	-3.26359		
470	-1.39437	470	-2.0633		
471	-1.39437	471	-2.92065		
472	-1.39437	472	-2.23477		
473	-1.39437	473	-2.0633		
474	-1.39437	474	-2.0633		
475	-2.08025	475	-2.0633		
476	-1.39437	476	-3.09212		
477	-1.39437	477	-2.0633		
478	-1.39437	478	-2.0633		
479	-2.25172	479	-2.74918		
480	-1.39437	480	-1.89183		
481	-1.56584	481	-2.92065		
482	-2.25172	482	-2.92065		
483	-1.39437	483	-2.57771		
484	-1.39437	484	-2.0633		
485	-1.39437	485	-2.0633		
486	-1.39437	486	-2.23477		
487	-2.25172	487	-2.92065		
488	-1.39437	488	-2.92065		
489	-1.39437	489	-2.0633		
490	-1.39437	490	-2.0633		
491	-1.39437	491	-2.92065		
492	-1.39437	492	-2.0633		
493	-2.25172	493	-2.74918		
494	-2.25172	494	-2.0633		
495	-2.25172	495	-2.0633		
496	-2.4232	496	-2.23477		
497	-2.08025	497	-2.23477		
498	-1.39437	498	-2.0633		
499	-1.56584	499	-2.0633		
500	-1.2229	500	-2.0633		
501	-2.25172	501	-3.09212		
502	-1.39437	502	-2.0633		
503	-1.39437	503	-3.09212		
504	-1.39437	504	-2.92065		
505	-2.08025	505	-2.92065		
506	-2.25172	506	-1.89183		
507	-1.39437	507	-2.0633		
508	-1.39437	508	-2.23477		
509	-2.25172	509	-2.92065		
510	-1.2229	510	-2.0633		
511	-2.25172	511	-2.0633		
512	-2.25172	512	-1.89183		
513	-1.39437	513	-2.0633		
514	-1.39437	514	-1.89183		
515	-1.39437	515	-2.0633		
516	-2.25172	516	-1.89183		
517	-2.25172	517	-2.0633		
518	-1.39437	518	-2.74918		
519	-2.25172	519	-2.23477		
520	-1.39437	520	-2.92065		
521	-1.39437	521	-2.0633		
522	-2.25172	522	-2.0633		
523	-2.25172	523	-1.89183		
524	-1.39437	524	-2.23477		
525	-1.39437	525	-2.0633		
526	-1.39437	526	-2.23477		
527	-1.39437	527	-2.40624		
528	-1.39437	528	-2.23477		
529	-1.2229	529	-2.0633		
530	-1.39437	530	-2.0633		
531	-1.39437	531	-2.0633		
532	-1.56584	532	-3.09212		
533	-2.25172	533	-2.0633		
534	-2.25172	534	-2.92065		
535	-2.25172	535	-3.09212		
536	-1.56584	536	-2.0633		
537	-1.39437	537	-2.0633		
538	-2.25172	538	-2.0633		
539	-1.39437	539	-2.92065		
540	-1.39437	540	-2.74918		
541	-1.39437	541	-2.23477		
542	-1.39437	542	-2.0633		
543	-1.39437	543	-2.92065		
544	-2.25172	544	-2.23477		
545	-1.39437	545	-2.23477		
546	-1.39437	546	-2.92065		
547	-1.39437	547	-2.74918		
548	-2.08025	548	-2.74918		
549	-2.25172	549	-2.0633		
550	-1.39437	550	-2.92065		
551	-1.39437	551	-2.0633		
552	-2.25172	552	-3.09212		
553	-1.39437	553	-2.0633		
554	-1.39437	554	-2.92065		
555	-1.39437	555	-2.92065		
556	-2.25172	556	-1.89183		
557	-2.25172	557	-2.0633		
558	-1.39437	558	-2.74918		
559	-1.39437	559	-2.92065		
560	-1.39437	560	-1.89183		
561	-1.05143	561	-2.0633		
562	-2.25172	562	-2.92065		
563	-1.39437	563	-2.74918		
564	-1.39437	564	-2.0633		
565	-2.25172	565	-2.0633		
566	-1.56584	566	-2.23477		
567	-1.39437	567	-2.92065		
568	-1.39437	568	-2.0633		
569	-2.25172	569	-2.0633		
570	-2.25172	570	-2.0633		
571	-2.25172	571	-2.0633		
572	-1.39437	572	-2.92065		
573	-1.39437	573	-2.23477		
574	-1.39437	574	-1.89183		
575	-2.25172	575	-2.0633		
576	-1.39437	576	-2.23477		
577	-1.56584	577	-2.23477		
578	-2.25172	578	-1.89183		
579	-1.39437	579	-1.89183		
580	-1.56584	580	-2.23477		
581	-1.39437	581	-2.0633		
582	-1.39437	582	-2.92065		
583	-2.08025	583	-2.23477		
584	-1.39437	584	-2.92065		
585	-1.39437	585	-2.0633		
586	-1.39437	586	-2.23477		
587	-1.39437	587	-1.89183		
588	-1.39437	588	-2.0633		
589	-1.39437	589	-2.74918		
590	-1.56584	590	-1.89183		
591	-1.56584	591	-2.92065		
592	-2.25172	592	-2.0633		
593	-1.56584	593	-2.74918		
594	-2.25172	594	-2.0633		
595	-1.39437	595	-2.23477		
596	-1.39437	596	-2.0633		
597	-1.39437	597	-2.74918		
598	-2.25172	598	-2.23477		
599	-2.25172	599	-3.09212		
600	-1.39437	600	-2.74918		
601	-1.39437	601	-2.0633		
602	-2.25172	602	-2.74918		
603	-1.39437	603	-2.0633		
604	-1.39437	604	-2.0633		
605	-2.25172	605	-2.0633		
606	-1.39437	606	-2.0633		
607	-1.39437	607	-2.0633		
608	-2.25172	608	-2.0633		
609	-1.39437	609	-2.92065		
